Year_Birth,Education,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Age,Is_Parent,Total_Kids,Marital_Status_Simplified,Total_Spent,MntWines_Share,MntFruits_Share,MntMeatProducts_Share,MntFishProducts_Share,MntSweetProducts_Share,MntGoldProds_Share,Total_Purchases,Avg_Spend_per_Purchase,Deal_Rate,Web_Purchase_Share,Web_Visit_to_Purchase_Ratio,Is_Online_Buyer,Customer_Since_Days,Is_Active,Lifetime_Spend_per_Day,Total_Accepted_Campaigns,Campaign_Response_Rate,Is_Responder
1970,Graduation,84835,0,0,6/16/2014,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,SP,55,0,0,Single,1190,0.1588235294117647,0.087394958,0.31848739495798317,0.093277311,0.1588235294117647,0.18319327731092436,15,79.33333333333333,0.066666667,0.26666666666666666,0.2,0,3486,1,0.3413654618473896,0,0,1
1961,Graduation,57091,0,0,6/15/2014,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,CA,64,0,0,Single,577,0.804159445,0.008665511,0.11091854419410745,0.012131715771230503,0,0.064124783,18,32.05555555555556,0.055555556,0.3888888888888889,0.625,0,3487,1,0.16547175222254087,1,0.2,1
1958,Graduation,67267,0,1,5/13/2014,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,US,67,1,1,Partnered,251,0.5338645418326693,0.043824701195219126,0.2350597609561753,0.059760956,0.007968127,0.11952191235059761,11,22.818181818181817,0.090909091,0.2727272727272727,0.5,0,3520,1,0.071306818,0,0,0
1967,Graduation,32474,1,1,5/11/2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,AUS,58,1,2,Partnered,11,0.9090909090909091,0,0.090909091,0,0,0,4,2.75,0.25,0.25,3.5,0,3522,1,0.003123225,0,0,0
1989,Graduation,21474,1,0,4/8/2014,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,SP,36,1,1,Single,91,0.065934066,0.17582417582417584,0.26373626373626374,0.12087912087912088,0,0.37362637362637363,8,11.375,0.25,0.375,1.75,1,3555,1,0.02559775,1,0.2,1
1958,PhD,71691,0,0,3/17/2014,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,SP,67,0,0,Single,1192,0.28187919463087246,0.10906040268456375,0.3447986577181208,0.20134228187919462,0.026845637583892617,0.036073826,17,70.11764705882354,0.058823529411764705,0.23529411764705882,0.4,0,3577,1,0.3332401453732178,0,0,1
1954,2n Cycle,63564,0,0,1/29/2014,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,GER,71,0,0,Partnered,1215,0.6329218106995885,0.065843621,0.2074074074074074,0.012345679012345678,0.027983539094650206,0.053497942386831275,28,43.392857142857146,0.035714286,0.35714285714285715,0.5454545454545454,1,3624,1,0.3352649006622517,1,0.2,1
1967,Graduation,44931,0,1,1/18/2014,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,SP,58,1,1,Partnered,96,0.8125,0,0.11458333333333333,0,0,0.072916667,7,13.714285714285714,0.14285714285714285,0.2857142857142857,1.6666666666666667,0,3635,1,0.026409904,0,0,0
1954,PhD,65324,0,1,1/11/2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,US,71,1,1,Partnered,544,0.7058823529411765,0,0.1875,0.038602941,0.058823529411764705,0.009191176,20,27.2,0.15,0.3,0.5714285714285714,0,3642,1,0.14936847885777046,0,0,0
1954,PhD,65324,0,1,1/11/2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,IND,71,1,1,Partnered,544,0.7058823529411765,0,0.1875,0.038602941,0.058823529411764705,0.009191176,20,27.2,0.15,0.3,0.5714285714285714,0,3642,1,0.14936847885777046,0,0,0
