Year_Birth,Education,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Age,Is_Parent,Total_Kids,Marital_Status_Simplified,Total_Spent,MntWines_Share,MntFruits_Share,MntMeatProducts_Share,MntFishProducts_Share,MntSweetProducts_Share,MntGoldProds_Share,Total_Purchases,Avg_Spend_per_Purchase,Deal_Rate,Web_Purchase_Share,Web_Visit_to_Purchase_Ratio,Is_Online_Buyer,Customer_Since_Days,Is_Active,Lifetime_Spend_per_Day,Total_Accepted_Campaigns,Campaign_Response_Rate,Is_Responder,Cluster,Segment
1970,Graduation,84835,0,0,2014-06-16,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,SP,55,0,0,Single,1190,0.1588235294117647,0.0873949579831932,0.3184873949579831,0.0932773109243697,0.1588235294117647,0.1831932773109243,15,79.33333333333333,0.0666666666666666,0.2666666666666666,0.2,0,3486,1,0.3413654618473896,0,0.0,1,2,Champions
1961,Graduation,57091,0,0,2014-06-15,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,CA,64,0,0,Single,577,0.804159445407279,0.0086655112651646,0.1109185441941074,0.0121317157712305,0.0,0.0641247833622183,18,32.05555555555556,0.0555555555555555,0.3888888888888889,0.625,0,3487,1,0.1654717522225408,1,0.2,1,2,Champions
1958,Graduation,67267,0,1,2014-05-13,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,US,67,1,1,Partnered,251,0.5338645418326693,0.0438247011952191,0.2350597609561753,0.0597609561752988,0.0079681274900398,0.1195219123505976,11,22.818181818181817,0.0909090909090909,0.2727272727272727,0.5,0,3520,1,0.0713068181818181,0,0.0,0,1,Newcomers
1967,Graduation,32474,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,AUS,58,1,2,Partnered,11,0.9090909090909092,0.0,0.0909090909090909,0.0,0.0,0.0,4,2.75,0.25,0.25,3.5,0,3522,1,0.0031232254400908,0,0.0,0,0,At-Risk Customers
1989,Graduation,21474,1,0,2014-04-08,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,SP,36,1,1,Single,91,0.0659340659340659,0.1758241758241758,0.2637362637362637,0.1208791208791208,0.0,0.3736263736263736,8,11.375,0.25,0.375,1.75,1,3555,1,0.0255977496483825,1,0.2,1,3,Budget-Conscious Parents
1958,PhD,71691,0,0,2014-03-17,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,SP,67,0,0,Single,1192,0.2818791946308724,0.1090604026845637,0.3447986577181208,0.2013422818791946,0.0268456375838926,0.0360738255033557,17,70.11764705882354,0.0588235294117647,0.2352941176470588,0.4,0,3577,1,0.3332401453732178,0,0.0,1,2,Champions
1954,2n Cycle,63564,0,0,2014-01-29,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,GER,71,0,0,Partnered,1215,0.6329218106995885,0.0658436213991769,0.2074074074074074,0.0123456790123456,0.0279835390946502,0.0534979423868312,28,43.392857142857146,0.0357142857142857,0.3571428571428571,0.5454545454545454,1,3624,1,0.3352649006622517,1,0.2,1,2,Champions
1967,Graduation,44931,0,1,2014-01-18,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,SP,58,1,1,Partnered,96,0.8125,0.0,0.1145833333333333,0.0,0.0,0.0729166666666666,7,13.714285714285714,0.1428571428571428,0.2857142857142857,1.6666666666666667,0,3635,1,0.0264099037138927,0,0.0,0,3,Budget-Conscious Parents
1954,PhD,65324,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,US,71,1,1,Partnered,544,0.7058823529411765,0.0,0.1875,0.0386029411764705,0.0588235294117647,0.0091911764705882,20,27.2,0.15,0.3,0.5714285714285714,0,3642,1,0.1493684788577704,0,0.0,0,1,Newcomers
1954,PhD,65324,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,IND,71,1,1,Partnered,544,0.7058823529411765,0.0,0.1875,0.0386029411764705,0.0588235294117647,0.0091911764705882,20,27.2,0.15,0.3,0.5714285714285714,0,3642,1,0.1493684788577704,0,0.0,0,1,Newcomers
